Time	Node	Type	Packets	
23.5	7	CacheMisses	71
23.5	8	CacheHits	136
23.5	8	CacheMisses	319
24	0	CacheHits	27
24	0	CacheMisses	27
24	1	CacheHits	436
24	1	CacheMisses	141
24	2	CacheHits	1
24	2	CacheMisses	397
24	3	CacheHits	127
24	3	CacheMisses	89
24	4	CacheHits	36
24	4	CacheMisses	99
24	5	CacheHits	16
24	5	CacheMisses	246
24	6	CacheHits	3
24	6	CacheMisses	67
24	7	CacheHits	31
24	7	CacheMisses	179
24	8	CacheHits	82
24	8	CacheMisses	422
24.5	0	CacheHits	32
24.5	0	CacheMisses	42
24.5	1	CacheHits	225
24.5	1	CacheMisses	65
24.5	2	CacheHits	0
24.5	2	CacheMisses	108
24.5	3	CacheHits	239
24.5	3	CacheMisses	104
24.5	4	CacheHits	62
24.5	4	CacheMisses	83
24.5	5	CacheHits	12
24.5	5	CacheMisses	192
24.5	6	CacheHits	7
24.5	6	CacheMisses	59
24.5	7	CacheHits	32
24.5	7	CacheMisses	91
24.5	8	CacheHits	51
24.5	8	CacheMisses	348
25	0	CacheHits	30
25	0	CacheMisses	45
25	1	CacheHits	322
25	1	CacheMisses	130
25	2	CacheHits	0
25	2	CacheMisses	161
25	3	CacheHits	231
25	3	CacheMisses	121
25	4	CacheHits	52
25	4	CacheMisses	104
25	5	CacheHits	21
25	5	CacheMisses	184
25	6	CacheHits	3
25	6	CacheMisses	45
25	7	CacheHits	29
25	7	CacheMisses	53
25	8	CacheHits	48
25	8	CacheMisses	326
25.5	0	CacheHits	29
25.5	0	CacheMisses	34
25.5	1	CacheHits	306
25.5	1	CacheMisses	122
25.5	2	CacheHits	0
25.5	2	CacheMisses	195
25.5	3	CacheHits	206
25.5	3	CacheMisses	169
25.5	4	CacheHits	93
25.5	4	CacheMisses	140
25.5	5	CacheHits	29
25.5	5	CacheMisses	267
25.5	6	CacheHits	3
25.5	6	CacheMisses	70
25.5	7	CacheHits	36
25.5	7	CacheMisses	115
25.5	8	CacheHits	111
25.5	8	CacheMisses	342
26	0	CacheHits	53
26	0	CacheMisses	47
26	1	CacheHits	297
26	1	CacheMisses	138
26	2	CacheHits	0
