Time	Node	Type	Packets	
13	3	CacheMisses	172
13	4	CacheHits	173
13	4	CacheMisses	75
13	5	CacheHits	63
13	5	CacheMisses	93
13	6	CacheHits	1
13	6	CacheMisses	60
13	7	CacheHits	47
13	7	CacheMisses	126
13	8	CacheHits	130
13	8	CacheMisses	396
13.5	0	CacheHits	31
13.5	0	CacheMisses	22
13.5	1	CacheHits	295
13.5	1	CacheMisses	248
13.5	2	CacheHits	3
13.5	2	CacheMisses	287
13.5	3	CacheHits	351
13.5	3	CacheMisses	173
13.5	4	CacheHits	163
13.5	4	CacheMisses	68
13.5	5	CacheHits	100
13.5	5	CacheMisses	78
13.5	6	CacheHits	0
13.5	6	CacheMisses	71
13.5	7	CacheHits	47
13.5	7	CacheMisses	109
13.5	8	CacheHits	145
13.5	8	CacheMisses	304
14	0	CacheHits	30
14	0	CacheMisses	37
14	1	CacheHits	428
14	1	CacheMisses	124
14	2	CacheHits	2
14	2	CacheMisses	165
14	3	CacheHits	414
14	3	CacheMisses	105
14	4	CacheHits	181
14	4	CacheMisses	82
14	5	CacheHits	71
14	5	CacheMisses	97
14	6	CacheHits	0
14	6	CacheMisses	55
14	7	CacheHits	35
14	7	CacheMisses	76
14	8	CacheHits	104
14	8	CacheMisses	307
14.5	0	CacheHits	27
14.5	0	CacheMisses	39
14.5	1	CacheHits	331
14.5	1	CacheMisses	254
14.5	2	CacheHits	3
14.5	2	CacheMisses	350
14.5	3	CacheHits	295
14.5	3	CacheMisses	119
14.5	4	CacheHits	147
14.5	4	CacheMisses	124
14.5	5	CacheHits	85
14.5	5	CacheMisses	128
14.5	6	CacheHits	1
14.5	6	CacheMisses	64
14.5	7	CacheHits	42
14.5	7	CacheMisses	71
14.5	8	CacheHits	124
14.5	8	CacheMisses	311
15	0	CacheHits	31
15	0	CacheMisses	34
15	1	CacheHits	323
15	1	CacheMisses	101
15	2	CacheHits	1
15	2	CacheMisses	147
15	3	CacheHits	397
15	3	CacheMisses	65
15	4	CacheHits	136
15	4	CacheMisses	81
15	5	CacheHits	52
15	5	CacheMisses	86
15	6	CacheHits	1
15	6	CacheMisses	52
15	7	CacheHits	41
15	7	CacheMisses	74
15	8	CacheHits	137
15	8	CacheMisses	264
15.5	0	CacheHits	50
15.5	0	CacheMisses	44
15.5	1	CacheHits	343
15.5	1	CacheMisses	164
15.5	2	CacheHits	8
15.5	2	CacheMisses	170
15.5	3	CacheHits	442
15.5	3	CacheMisses	158
15.5	4	CacheHits	183
15.5	4	CacheMisses	177
15.5	5	CacheHits	69
15.5	5	CacheMisses	202
15.5	6	CacheHits	1
15.5	6	CacheMisses	35
15.5	7	CacheHits	38
15.5	7	CacheMisses	75
15.5	8	CacheHits	161
15.5	8	CacheMisses	342
16	0	CacheHits	34
16	0	CacheMisses	30
16	1	CacheHits	335
16	1	CacheMisses	260
16	2	CacheHits	3
16	2	CacheMisses	280
16	3	CacheHits	332
16	3	CacheMisses	295
16	4	CacheHits	185
16	4	CacheMisses	220
16	5	CacheHits	101
16	5	CacheMisses	241
16	6	CacheHits	2
16	6	CacheMisses	70
16	7	CacheHits	30
16	7	CacheMisses	129
16	8	CacheHits	200
16	8	CacheMisses	399
16.5	0	CacheHits	31
16.5	0	CacheMisses	37
16.5	1	CacheHits	401
16.5	1	CacheMisses	111
16.5	2	CacheHits	3
16.5	2	CacheMisses	155
16.5	3	CacheHits	431
16.5	3	CacheMisses	311
16.5	4	CacheHits	218
16.5	4	CacheMisses	213
16.5	5	CacheHits	78
16.5	5	CacheMisses	231
16.5	6	CacheHits	4
16.5	6	CacheMisses	63
16.5	7	CacheHits	31
16.5	7	CacheMisses	85
16.5	8	CacheHits	132
16.5	8	CacheMisses	371
17	0	CacheHits	43
17	0	CacheMisses	52
17	1	CacheHits	420
17	1	CacheMisses	158
17	2	CacheHits	0
17	2	CacheMisses	192
17	3	CacheHits	455
17	3	CacheMisses	304
17	4	CacheHits	190
17	4	CacheMisses	196
17	5	CacheHits	76
17	5	CacheMisses	272
17	6	CacheHits	1
17	6	CacheMisses	80
17	7	CacheHits	51
17	7	CacheMisses	76
17	8	CacheHits	128
17	8	CacheMisses	442
17.5	0	CacheHits	35
17.5	0	CacheMisses	24
17.5	1	CacheHits	427
17.5	1	CacheMisses	118
17.5	2	CacheHits	2
17.5	2	CacheMisses	156
17.5	3	CacheHits	370
17.5	3	CacheMisses	162
17.5	4	CacheHits	199
17.5	4	CacheMisses	117
17.5	5	CacheHits	60
17.5	5	CacheMisses	105
17.5	6	CacheHits	0
17.5	6	CacheMisses	87
17.5	7	CacheHits	42
17.5	7	CacheMisses	125
17.5	8	CacheHits	153
17.5	8	CacheMisses	324
18	0	CacheHits	31
18	0	CacheMisses	36
18	1	CacheHits	387
18	1	CacheMisses	188
18	2	CacheHits	0
18	2	CacheMisses	238
18	3	CacheHits	453
18	3	CacheMisses	199
18	4	CacheHits	210
18	4	CacheMisses	95
18	5	CacheHits	77
18	5	CacheMisses	135
18	6	CacheHits	5
18	6	CacheMisses	86
18	7	CacheHits	53
18	7	CacheMisses	160
18	8	CacheHits	144
18	8	CacheMisses	357
18.5	0	CacheHits	46
18.5	0	CacheMisses	37
18.5	1	CacheHits	434
18.5	1	CacheMisses	206
18.5	2	CacheHits	0
18.5	2	CacheMisses	274
18.5	3	CacheHits	455
18.5	3	CacheMisses	92
18.5	4	CacheHits	193
18.5	4	CacheMisses	107
18.5	5	CacheHits	80
18.5	5	CacheMisses	157
18.5	6	CacheHits	2
18.5	6	CacheMisses	91
18.5	7	CacheHits	53
18.5	7	CacheMisses	164
18.5	8	CacheHits	153
18.5	8	CacheMisses	427
19	0	CacheHits	48
19	0	CacheMisses	43
19	1	CacheHits	421
19	1	CacheMisses	192
19	2	CacheHits	2
19	2	CacheMisses	275
19	3	CacheHits	374
19	3	CacheMisses	91
19	4	CacheHits	192
19	4	CacheMisses	100
19	5	CacheHits	67
19	5	CacheMisses	116
19	6	CacheHits	1
19	6	CacheMisses	65
19	7	CacheHits	50
19	7	CacheMisses	180
19	8	CacheHits	132
19	8	CacheMisses	395
19.5	0	CacheHits	38
19.5	0	CacheMisses	25
19.5	1	CacheHits	431
19.5	1	CacheMisses	151
19.5	2	CacheHits	2
19.5	2	CacheMisses	240
19.5	3	CacheHits	443
19.5	3	CacheMisses	76
19.5	4	CacheHits	167
19.5	4	CacheMisses	79
19.5	5	CacheHits	63
19.5	5	CacheMisses	130
19.5	6	CacheHits	2
19.5	6	CacheMisses	84
19.5	7	CacheHits	43
19.5	7	CacheMisses	132
19.5	8	CacheHits	142
19.5	8	CacheMisses	376
20	0	CacheHits	41
20	0	CacheMisses	53
20	1	CacheHits	457
20	1	CacheMisses	151
20	2	CacheHits	1
20	2	CacheMisses	202
20	3	CacheHits	460
20	3	CacheMisses	187
20	4	CacheHits	220
20	4	CacheMisses	110
20	5	CacheHits	63
20	5	CacheMisses	130
20	6	CacheHits	3
20	6	CacheMisses	75
20	7	CacheHits	53
20	7	CacheMisses	129
20	8	CacheHits	177
20	8	CacheMisses	282
20.5	0	CacheHits	31
20.5	0	CacheMisses	30
20.5	1	CacheHits	433
20.5	1	CacheMisses	227
20.5	2	CacheHits	2
20.5	2	CacheMisses	297
20.5	3	CacheHits	440
20.5	3	CacheMisses	255
20.5	4	CacheHits	187
20.5	4	CacheMisses	136
20.5	5	CacheHits	65
20.5	5	CacheMisses	211
20.5	6	CacheHits	5
20.5	6	CacheMisses	79
20.5	7	CacheHits	45
20.5	7	CacheMisses	138
20.5	8	CacheHits	119
20.5	8	CacheMisses	464
21	0	CacheHits	35
21	0	CacheMisses	30
21	1	CacheHits	416
21	1	CacheMisses	97
21	2	CacheHits	2
21	2	CacheMisses	140
21	3	CacheHits	475
21	3	CacheMisses	351
21	4	CacheHits	246
21	4	CacheMisses	150
21	5	CacheHits	59
21	5	CacheMisses	103
21	6	CacheHits	1
21	6	CacheMisses	68
21	7	CacheHits	42
21	7	CacheMisses	84
21	8	CacheHits	157
21	8	CacheMisses	292
21.5	0	CacheHits	36
21.5	0	CacheMisses	37
21.5	1	CacheHits	463
21.5	1	CacheMisses	116
21.5	2	CacheHits	2
21.5	2	CacheMisses	185
21.5	3	CacheHits	494
21.5	3	CacheMisses	219
21.5	4	CacheHits	193
21.5	4	CacheMisses	102
21.5	5	CacheHits	62
21.5	5	CacheMisses	121
21.5	6	CacheHits	1
21.5	6	CacheMisses	73
21.5	7	CacheHits	42
21.5	7	CacheMisses	70
21.5	8	CacheHits	198
21.5	8	CacheMisses	277
22	0	CacheHits	31
22	0	CacheMisses	32
22	1	CacheHits	455
22	1	CacheMisses	125
22	2	CacheHits	5
22	2	CacheMisses	169
22	3	CacheHits	506
22	3	CacheMisses	155
22	4	CacheHits	218
22	4	CacheMisses	93
22	5	CacheHits	68
22	5	CacheMisses	136
22	6	CacheHits	4
22	6	CacheMisses	65
22	7	CacheHits	35
22	7	CacheMisses	83
22	8	CacheHits	205
22	8	CacheMisses	321
22.5	0	CacheHits	40
22.5	0	CacheMisses	27
22.5	1	CacheHits	485
22.5	1	CacheMisses	171
22.5	2	CacheHits	1
22.5	2	CacheMisses	208
22.5	3	CacheHits	436
22.5	3	CacheMisses	185
22.5	4	CacheHits	218
22.5	4	CacheMisses	98
22.5	5	CacheHits	80
22.5	5	CacheMisses	179
22.5	6	CacheHits	1
22.5	6	CacheMisses	65
22.5	7	CacheHits	40
22.5	7	CacheMisses	79
22.5	8	CacheHits	198
22.5	8	CacheMisses	351
23	0	CacheHits	47
23	0	CacheMisses	47
23	1	CacheHits	532
23	1	CacheMisses	124
23	2	CacheHits	0
23	2	CacheMisses	186
23	3	CacheHits	514
23	3	CacheMisses	68
23	4	CacheHits	175
23	4	CacheMisses	79
23	5	CacheHits	63
23	5	CacheMisses	128
23	6	CacheHits	0
23	6	CacheMisses	68
23	7	CacheHits	34
23	7	CacheMisses	90
23	8	CacheHits	176
23	8	CacheMisses	336
23.5	0	CacheHits	29
23.5	0	CacheMisses	46
23.5	1	CacheHits	496
23.5	1	CacheMisses	192
23.5	2	CacheHits	2
23.5	2	CacheMisses	244
23.5	3	CacheHits	512
23.5	3	CacheMisses	130
23.5	4	CacheHits	212
23.5	4	CacheMisses	89
23.5	5	CacheHits	62
23.5	5	CacheMisses	199
23.5	6	CacheHits	1
23.5	6	CacheMisses	76
23.5	7	CacheHits	34
23.5	7	CacheMisses	76
23.5	8	CacheHits	176
23.5	8	CacheMisses	348
24	0	CacheHits	22
24	0	CacheMisses	37
24	1	CacheHits	517
24	1	CacheMisses	231
24	2	CacheHits	5
24	2	CacheMisses	293
24	3	CacheHits	468
24	3	CacheMisses	93
24	4	CacheHits	196
24	4	CacheMisses	73
24	5	CacheHits	49
24	5	CacheMisses	217
24	6	CacheHits	1
24	6	CacheMisses	83
24	7	CacheHits	36
24	7	CacheMisses	93
24	8	CacheHits	156
24	8	CacheMisses	389
24.5	0	CacheHits	30
24.5	0	CacheMisses	41
24.5	1	CacheHits	559
24.5	1	CacheMisses	120
24.5	2	CacheHits	0
24.5	2	CacheMisses	175
24.5	3	CacheHits	516
24.5	3	CacheMisses	182
24.5	4	CacheHits	267
24.5	4	CacheMisses	111
24.5	5	CacheHits	82
24.5	5	CacheMisses	121
24.5	6	CacheHits	2
24.5	6	CacheMisses	70
24.5	7	CacheHits	33
24.5	7	CacheMisses	94
24.5	8	CacheHits	178
24.5	8	CacheMisses	318
25	0	CacheHits	26
25	0	CacheMisses	36
25	1	CacheHits	554
25	1	CacheMisses	161
25	2	CacheHits	4
25	2	CacheMisses	221
25	3	CacheHits	500
25	3	CacheMisses	171
25	4	CacheHits	219
25	4	CacheMisses	109
25	5	CacheHits	94
25	5	CacheMisses	163
25	6	CacheHits	1
25	6	CacheMisses	68
25	7	CacheHits	42
25	7	CacheMisses	99
25	8	CacheHits	170
25	8	CacheMisses	372
25.5	0	CacheHits	16
25.5	0	CacheMisses	44
25.5	1	CacheHits	550
25.5	1	CacheMisses	108
25.5	2	CacheHits	0
25.5	2	CacheMisses	156
25.5	3	CacheHits	491
25.5	3	CacheMisses	284
25.5	4	CacheHits	263
25.5	4	CacheMisses	235
25.5	5	CacheHits	76
25.5	5	CacheMisses	145
25.5	6	CacheHits	3
25.5	6	CacheMisses	72
25.5	7	CacheHits	42
25.5	7	CacheMisses	77
25.5	8	CacheHits	192
25.5	8	CacheMisses	346
26	0	CacheHits	33
26	0	CacheMisses	29
26	1	CacheHits	601
26	1	CacheMisses	118
26	2	CacheHits	2
26	2	CacheMisses	145
26	3	CacheHits	542
26	3	CacheMisses	278
26	4	CacheHits	249
26	4	CacheMisses	222
26	5	CacheHits	92
26	5	CacheMisses	125
26	6	CacheHits	7
26	6	CacheMisses	44
26	7	CacheHits	47
26	7	CacheMisses	79
26	8	CacheHits	188
26	8	CacheMisses	309
26.5	0	CacheHits	19
26.5	0	CacheMisses	30
26.5	1	CacheHits	596
26.5	1	CacheMisses	92
26.5	2	CacheHits	3
26.5	2	CacheMisses	128
26.5	3	CacheHits	579
26.5	3	CacheMisses	156
26.5	4	CacheHits	212
26.5	4	CacheMisses	155
26.5	5	CacheHits	75
26.5	5	CacheMisses	106
26.5	6	CacheHits	8
26.5	6	CacheMisses	60
26.5	7	CacheHits	34
26.5	7	CacheMisses	76
26.5	8	CacheHits	177
26.5	8	CacheMisses	275
27	0	CacheHits	26
27	0	CacheMisses	28
27	1	CacheHits	596
27	1	CacheMisses	103
27	2	CacheHits	2
27	2	CacheMisses	148
27	3	CacheHits	535
27	3	CacheMisses	107
27	4	CacheHits	213
27	4	CacheMisses	87
27	5	CacheHits	78
27	5	CacheMisses	97
27	6	CacheHits	5
27	6	CacheMisses	59
27	7	CacheHits	33
27	7	CacheMisses	57
27	8	CacheHits	194
27	8	CacheMisses	232
27.5	0	CacheHits	32
27.5	0	CacheMisses	46
27.5	1	CacheHits	647
27.5	1	CacheMisses	155
27.5	2	CacheHits	1
27.5	2	CacheMisses	197
27.5	3	CacheHits	596
27.5	3	CacheMisses	120
27.5	4	CacheHits	216
27.5	4	CacheMisses	90
27.5	5	CacheHits	89
27.5	5	CacheMisses	106
27.5	6	CacheHits	4
27.5	6	CacheMisses	62
27.5	7	CacheHits	32
27.5	7	CacheMisses	89
27.5	8	CacheHits	228
27.5	8	CacheMisses	278
28	0	CacheHits	23
28	0	CacheMisses	29
28	1	CacheHits	630
28	1	CacheMisses	175
28	2	CacheHits	5
28	2	CacheMisses	191
28	3	CacheHits	649
28	3	CacheMisses	76
28	4	CacheHits	212
28	4	CacheMisses	80
28	5	CacheHits	70
28	5	CacheMisses	90
28	6	CacheHits	5
28	6	CacheMisses	71
28	7	CacheHits	29
28	7	CacheMisses	84
28	8	CacheHits	197
28	8	CacheMisses	263
28.5	0	CacheHits	33
28.5	0	CacheMisses	24
28.5	1	CacheHits	673
28.5	1	CacheMisses	162
28.5	2	CacheHits	4
28.5	2	CacheMisses	193
28.5	3	CacheHits	554
28.5	3	CacheMisses	102
28.5	4	CacheHits	205
28.5	4	CacheMisses	88
28.5	5	CacheHits	84
28.5	5	CacheMisses	98
28.5	6	CacheHits	7
28.5	6	CacheMisses	64
28.5	7	CacheHits	30
28.5	7	CacheMisses	66
28.5	8	CacheHits	189
28.5	8	CacheMisses	236
29	0	CacheHits	33
29	0	CacheMisses	60
29	1	CacheHits	678
29	1	CacheMisses	190
